dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
3/24/16 11:52,Golf_3_1.6,privat,Angebot,480,test,,1993,manuell,0,golf,150000,0,benzin,volkswagen,,3/24/16 0:00,0,70435,4/7/16 3:16
3/24/16 10:58,A5_Sportback_2.7_Tdi,privat,Angebot,18300,test,coupe,2011,manuell,190,,125000,5,diesel,audi,ja,3/24/16 0:00,0,66954,4/7/16 1:46
3/14/16 12:52,"Jeep_Grand_Cherokee_""Overland""",privat,Angebot,9800,test,suv,2004,automatik,163,grand,125000,8,diesel,jeep,,3/14/16 0:00,0,90480,4/5/16 12:47
3/17/16 16:54,GOLF_4_1_4__3T‹RER,privat,Angebot,1500,test,kleinwagen,2001,manuell,75,golf,150000,6,benzin,volkswagen,nein,3/17/16 0:00,0,91074,3/17/16 17:40
3/31/16 17:25,Skoda_Fabia_1.4_TDI_PD_Classic,privat,Angebot,3600,test,kleinwagen,2008,manuell,69,fabia,90000,7,diesel,skoda,nein,3/31/16 0:00,0,60437,4/6/16 10:17
4/4/16 17:36,BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,privat,Angebot,650,test,limousine,1995,manuell,102,3er,150000,10,benzin,bmw,ja,4/4/16 0:00,0,33775,4/6/16 19:17
4/1/16 20:48,Peugeot_206_CC_110_Platinum,privat,Angebot,2200,test,cabrio,2004,manuell,109,2_reihe,150000,8,benzin,peugeot,nein,4/1/16 0:00,0,67112,4/5/16 18:18
3/21/16 18:54,VW_Derby_Bj_80__Scheunenfund,privat,Angebot,0,test,limousine,1980,manuell,50,andere,40000,7,benzin,volkswagen,nein,3/21/16 0:00,0,19348,3/25/16 16:47
4/4/16 23:42,Ford_C___Max_Titanium_1_0_L_EcoBoost,privat,Angebot,14500,control,bus,2014,manuell,125,c_max,30000,8,benzin,ford,,4/4/16 0:00,0,94505,4/4/16 23:42
3/17/16 10:53,VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung,privat,Angebot,999,test,kleinwagen,1998,manuell,101,golf,150000,0,,volkswagen,,3/17/16 0:00,0,27472,3/31/16 17:17
3/26/16 19:54,Mazda_3_1.6_Sport,privat,Angebot,2000,control,limousine,2004,manuell,105,3_reihe,150000,12,benzin,mazda,nein,3/26/16 0:00,0,96224,4/6/16 10:45
4/7/16 10:06,Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,Angebot,2799,control,kombi,2005,manuell,140,passat,150000,12,diesel,volkswagen,ja,4/7/16 0:00,0,57290,4/7/16 10:25
3/15/16 22:49,"VW_Passat_Facelift_35i__""7Sitzer""",privat,Angebot,999,control,kombi,1995,manuell,115,passat,150000,11,benzin,volkswagen,,3/15/16 0:00,0,37269,4/1/16 13:16
3/21/16 21:37,VW_PASSAT_1.9_TDI_131_PS_LEDER,privat,Angebot,2500,control,kombi,2004,manuell,131,passat,150000,2,,volkswagen,nein,3/21/16 0:00,0,90762,3/23/16 2:50
3/21/16 12:57,Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,privat,Angebot,17999,control,suv,2011,manuell,190,navara,70000,3,diesel,nissan,nein,3/21/16 0:00,0,4177,4/6/16 7:45
3/11/16 21:39,KA_Lufthansa_Edition_450Ä_VB,privat,Angebot,450,test,kleinwagen,1910,,0,ka,5000,0,benzin,ford,,3/11/16 0:00,0,24148,3/19/16 8:46
4/1/16 12:46,Polo_6n_1_4,privat,Angebot,300,test,,2016,,60,polo,150000,0,benzin,volkswagen,,4/1/16 0:00,0,38871,4/1/16 12:46
3/20/16 10:25,Renault_Twingo_1.2_16V_Aut.,privat,Angebot,1750,control,kleinwagen,2004,automatik,75,twingo,150000,2,benzin,renault,nein,3/20/16 0:00,0,65599,4/6/16 13:16
3/23/16 15:48,Ford_C_MAX_2.0_TDCi_DPF_Titanium,privat,Angebot,7550,test,bus,2007,manuell,136,c_max,150000,6,diesel,ford,nein,3/23/16 0:00,0,88361,4/5/16 18:45
4/1/16 22:55,Mercedes_Benz_A_160_Classic_Klima,privat,Angebot,1850,test,bus,2004,manuell,102,a_klasse,150000,1,benzin,mercedes_benz,nein,4/1/16 0:00,0,49565,4/5/16 22:46
4/1/16 19:56,Volkswagen_Scirocco_1.4_TSI_Sport,privat,Angebot,10400,control,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen,nein,4/1/16 0:00,0,75365,4/5/16 16:45
3/27/16 11:38,BMW_530i_T‹V_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,Angebot,3699,test,limousine,2002,automatik,231,5er,150000,7,benzin,bmw,nein,3/27/16 0:00,0,68309,4/7/16 6:44
3/23/16 14:52,Opel_Meriva_1.Hand_T‹V_3.2018,privat,Angebot,2900,test,,2018,manuell,90,meriva,150000,5,benzin,opel,nein,3/23/16 0:00,0,49716,3/31/16 1:16
3/12/16 19:43,Stadtflitzer,privat,Angebot,450,test,kleinwagen,1997,manuell,50,arosa,150000,5,benzin,seat,nein,3/12/16 0:00,0,9526,3/21/16 1:46
3/13/16 20:40,MERCEDES_200E__T‹V_04/2016,privat,Angebot,500,test,limousine,1990,manuell,118,andere,150000,10,benzin,mercedes_benz,ja,3/13/16 0:00,0,35390,3/13/16 20:40
3/18/16 21:44,BMW_530d_touring_Vollausstattung_NAVI,privat,Angebot,2500,control,kombi,2002,automatik,193,5er,150000,9,diesel,bmw,ja,3/18/16 0:00,0,73765,3/18/16 21:44
3/10/16 19:38,Citroen_C4_Grand_Picasso.,privat,Angebot,5555,control,,2017,manuell,125,c4,125000,4,,citroen,nein,3/10/16 0:00,0,31139,3/16/16 9:16
3/7/16 12:51,Honda_Civic_1.4_i_VTEC_Comfort,privat,Angebot,6900,test,limousine,2008,manuell,99,civic,60000,11,benzin,honda,nein,3/7/16 0:00,0,12621,3/26/16 9:44
3/9/16 11:56,Volkswagen_T3_andere,privat,Angebot,1990,test,bus,1981,manuell,50,transporter,5000,1,benzin,volkswagen,nein,3/9/16 0:00,0,87471,3/10/16 7:44
3/8/16 19:55,Fiat_Punto_1.2,privat,Angebot,690,test,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat,nein,3/8/16 0:00,0,86199,3/9/16 11:45
4/3/16 15:48,Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,Angebot,3300,test,limousine,1995,automatik,113,e_klasse,150000,1,diesel,mercedes_benz,nein,4/3/16 0:00,0,53879,4/5/16 15:16
3/29/16 16:57,Renault_clio_1.2_T‹V_07/2016,privat,Angebot,899,control,,2016,manuell,60,clio,150000,6,benzin,renault,,3/29/16 0:00,0,37075,3/29/16 17:43
3/15/16 20:59,Golf_3_....._1.4,privat,Angebot,245,test,limousine,1994,,0,golf,150000,2,benzin,volkswagen,nein,3/15/16 0:00,0,44145,3/17/16 18:17
3/25/16 21:48,BMW_325i_Aut.,privat,Angebot,18000,test,limousine,2007,automatik,218,3er,20000,5,benzin,bmw,nein,3/25/16 0:00,0,39179,4/7/16 4:45
3/17/16 18:55,Mercedes_Benz_E_200_CDI_Automatik_Classic,privat,Angebot,3500,control,limousine,2004,automatik,122,e_klasse,150000,11,diesel,mercedes_benz,nein,3/17/16 0:00,0,67071,3/30/16 15:46
3/8/16 7:54,VW_Golf_3,privat,Angebot,350,test,,2016,manuell,75,golf,150000,4,benzin,volkswagen,nein,3/8/16 0:00,0,19386,3/8/16 9:44
3/11/16 11:50,Opel_Kadett_E_CC,privat,Angebot,1600,control,andere,1991,manuell,75,kadett,70000,0,,opel,,3/11/16 0:00,0,2943,4/7/16 3:46
3/28/16 17:50,Renault_Kangoo_1.9_Diesel,privat,Angebot,1500,test,,2016,,0,kangoo,150000,1,diesel,renault,nein,3/28/16 0:00,0,46483,3/30/16 9:18
4/1/16 17:45,Abschleppwagen_Vw_LT_195.000_gruene_Plakette_T‹V_8/2017,privat,Angebot,11900,test,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen,nein,4/1/16 0:00,0,10551,4/5/16 12:47
3/25/16 15:50,Mercedes_Camper_D407,privat,Angebot,1500,test,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz,nein,3/25/16 0:00,0,22767,3/27/16 3:17
3/26/16 22:06,Suche_Opel_corsa_a_zu_verschenken,privat,Angebot,0,test,,1990,,0,corsa,150000,1,benzin,opel,,3/26/16 0:00,0,56412,3/27/16 17:43
